Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
042_F.png,0.9597,0.4347,0.5984,0.4269,0.9932,0.3656,333,14,433,64756
043_F.png,1.0,0.1883,0.3169,0.1883,0.9769,0.3656,351,0,1513,63672
044_F.png,1.0,0.0604,0.114,0.0604,0.9732,0.3593,113,0,1757,63666
045_F.png,0.9801,0.9163,0.9471,0.8995,0.9997,0.2389,197,4,18,65317
046_F.png,0.3725,0.0285,0.053,0.0272,0.9896,0.3737,19,32,647,64838
047_F.png,0.5339,0.0955,0.162,0.0881,0.9901,0.3624,63,55,597,64821
048_F.png,0.0,0.0,0.0,0.0,0.9071,0.3838,0,0,6087,59449
049_F.png,0.9181,0.9673,0.9421,0.8905,0.9977,0.2636,1244,111,42,64139
050_F.png,0.9902,0.9494,0.9694,0.9405,0.9934,0.2451,6879,68,367,58222
051_F.png,0.9915,0.9325,0.9611,0.9252,0.9916,0.7368,6801,58,492,58185
052_F.png,0.9875,0.8986,0.941,0.8885,0.9875,0.3962,6504,82,734,58216
053_F.png,0.9956,0.9844,0.9899,0.9801,0.9994,0.3574,2019,9,32,63476
054_F.png,0.9941,0.9841,0.9891,0.9784,0.999,0.3723,3040,18,49,62429
055_F.png,0.8355,0.4696,0.6012,0.4298,0.9961,0.3626,193,38,218,65087
056_F.png,0.9283,0.5962,0.7261,0.57,0.9942,0.3685,505,39,342,64650
057_F.png,0.6425,0.4111,0.5014,0.3346,0.9919,0.7333,266,148,381,64741
058_F.png,0.0,0.0,0.0,0.0,0.9799,0.3699,0,0,1317,64219
059_F.png,0.9953,0.9896,0.9924,0.985,0.9996,0.3722,1705,8,18,63805
060_F.png,0.0,0.0,0.0,0.0,0.9811,0.3733,0,90,1146,64300
061_F.png,0.9858,0.9791,0.9824,0.9654,0.9958,0.3667,7764,112,166,57494
062_F.png,0.9896,0.9732,0.9813,0.9633,0.997,0.2578,5147,54,142,60193
063_F.png,0.9599,0.965,0.9624,0.9276,0.9985,0.7396,1294,54,47,64141
064_F.png,0.0,0.0,0.0,0.0,0.7114,0.3789,0,0,18915,46621
065_F.png,0.957,0.6544,0.7773,0.6357,0.9846,0.2297,1757,79,928,62772
066_F.png,0.8623,0.9353,0.8973,0.8137,0.9967,0.3706,939,150,65,64382
067_F.png,0.9678,0.5018,0.6609,0.4935,0.9911,0.3793,571,19,567,64379
068_F.png,1.0,0.001,0.0021,0.001,0.9413,0.3869,4,0,3847,61685
069_F.png,0.0,0.0,0.0,0.0,0.9718,0.39,0,0,1850,63686
070_F.png,0.0,0.0,0.0,0.0,0.9872,0.3735,0,312,527,64697
071_F.png,0.9512,0.9783,0.9646,0.9316,0.999,0.3876,858,44,19,64615
072_F.png,0.0116,0.0024,0.004,0.002,0.9772,0.3823,3,255,1236,64042
073_F.png,0.9915,0.9968,0.9942,0.9884,0.9966,0.3575,18733,160,60,46583
074_F.png,0.9852,0.8803,0.9298,0.8688,0.9808,0.7133,8336,125,1134,55941
075_F.png,0.9725,0.1361,0.2388,0.1356,0.8452,0.3651,1591,45,10099,53801
076_F.png,1.0,0.1671,0.2863,0.1671,0.9951,0.3846,65,0,324,65147
077_F.png,0.0,0.0,0.0,0.0,0.9885,0.2896,0,0,751,64785
078_F.png,0.9941,0.9822,0.9881,0.9766,0.9991,0.379,2541,15,46,62934
